Emotion,Count,BibTexKeys,EmotionModelCitation
Active,1,moin2025vagina,"Watson et al. 1988, Russell 1980, Moge et al. 2022"
Admiration,1,fuest2023nudging,Scherer 2005
Aesthetic Appeal,5,alebri2023embellishments; arunkumar2024imageinfo; knoll2025gulf; schuster2024climate; sorapure2023user,He et al. 2023; Kostelnick 2016; none
Affective Trust,14,allen2018visbrokerage; banks2024benefits; davidson2025maps; elhamdadi2024vistrust; fox2025vibes; he2024receptivity; kennedy2025generic; knoll2025gulf; koesten2025crisismaps; markant2026sectarianism; mckinley2025trustworthy; song2025credibility; vandenbosch2022weather; wei2025atthepeak,"Bartsh Kalch and Oliver 2014; Lerner and Keltner 2000; McAllister 1995, Zhang 2013; Plutchik 1980; none; own"
Alert,1,moin2025vagina,"Watson et al. 1988, Russell 1980, Moge et al. 2022"
Amusement,3,fuest2023nudging; lan2022kineticharts; xie2024emordle,Hung & Parsons 2017; Scherer 2005; Scherer 2013
Anger,10,campbell2022Feeling; fuest2023nudging; kennedy2018feeling; li2023artistic; markant2026sectarianism; pfeiffer2022makehappy; pirani2020femcart; wei2025atthepeak; xie2024emordle; yang2024swaying,Plutchik 1980; Scherer 2005; Scherer 2013; Watson et al. 1988; none
Annoyance,2,lan2021smile; pirani2020femcart,Watson et al. 1988
Anticipation,1,wei2025atthepeak,Plutchik 1980
Anxiety,8,abraha2025diabetes; edgeley2024wildfire; hakone2016proact; kennedy2018feeling; mencarini2025peaks; sallam2002datavideos; sorapure2023user; wu2023datadata,Gibbons 2018; Kostelnick 2016; Marteau & Bekker 1992; Michie et al. 2011; none
Arousal,1,moin2025vagina,"Watson et al. 1988, Russell 1980, Moge et al. 2022"
Attentive,2,moin2025vagina; yang2024swaying,"Watson et al. 1988; Watson et al. 1988, Russell 1980, Moge et al. 2022"
Awe,3,block2012deeptree; lan2021smile; li2023artistic,Scherer 2005; none
Bored,2,davidson2025maps; lan2021smile,none
Calm,3,anderson2021affective; hakone2016proact; sallam2002datavideos,Marteau & Bekker 1992; Russell 2003; none
Compassion,2,fuest2023nudging; morais2022exploring,Batson 1987; Scherer 2005
Concern,3,kaufmann2023environart; lan2021smile; mencarini2025peaks,Wilce 2009; none
Confidence,2,strain2025scatter; yang2024swaying,Watson et al. 1988; none
Confusion,1,kennedy2018feeling,none
Contempt,2,fuest2023nudging; pfeiffer2022makehappy,Plutchik 1980; Scherer 2005
Content,2,fuest2023nudging; lan2021smile,Scherer 2005
Credibility,1,strain2025scatter,none
